dongCode,dongName,convenience_store,education,caf?,restaurant,health,market,avg_diff_convenience_store,avg_diff_education,avg_diff_caf?,avg_diff_restaurant,avg_diff_health,avg_diff_market,label_id
1117010500,남영동,4,7,24,202,3,2,-11,-46,-30,-2043,-8,-6,NULL
1117010600,용산동1가,0,0,3,7,0,0,-15,-53,-51,-2238,-11,-8,NULL
1117010700,동자동,13,15,33,391,6,1,-2,-38,-21,-1854,-5,-7,NULL
1117010800,서계동,7,5,16,208,2,5,-8,-48,-38,-2037,-9,-3,NULL
1117010900,청파동1가,3,14,6,127,1,5,-12,-39,-48,-2118,-10,-3,NULL
1117011000,청파동2가,5,15,27,188,1,5,-10,-38,-27,-2057,-10,-3,NULL
1117011100,청파동3가,2,7,19,171,3,0,-13,-46,-35,-2074,-8,-8,NULL
1117011200,원효로1가,5,14,32,295,3,7,-10,-39,-22,-1950,-8,-1,NULL
1117011300,원효로2가,7,10,6,237,1,2,-8,-43,-48,-2008,-10,-6,NULL
1117011400,신창동,1,2,3,31,0,0,-14,-51,-51,-2214,-11,-8,NULL
1117011500,산천동,1,22,4,96,0,2,-14,-31,-50,-2149,-11,-6,NULL
1117011600,청암동,1,0,0,10,0,0,-14,-53,-54,-2235,-11,-8,NULL
1117011700,원효로3가,2,3,5,185,0,2,-13,-50,-49,-2060,-11,-6,NULL
1117011800,원효로4가,2,6,13,89,0,1,-13,-47,-41,-2156,-11,-7,NULL
1117011900,효창동,2,23,18,207,3,6,-13,-30,-36,-2038,-8,-2,NULL
1117012000,도원동,0,17,3,83,0,5,-15,-36,-51,-2162,-11,-3,NULL
1117012100,용문동,5,9,25,290,1,3,-10,-44,-29,-1955,-10,-5,NULL
1117012200,문배동,8,3,3,97,2,1,-7,-50,-51,-2148,-9,-7,NULL
1117012300,신계동,2,4,4,153,2,1,-13,-49,-50,-2092,-9,-7,NULL
1117012400,한강로1가,4,7,23,240,1,0,-11,-46,-31,-2005,-10,-8,NULL
1117012500,한강로2가,10,19,55,787,4,4,-5,-34,1,-1458,-7,-4,003
1117012600,용산동3가,0,2,4,62,0,1,-15,-51,-50,-2183,-11,-7,NULL
1117012700,용산동5가,3,1,7,82,1,0,-12,-52,-47,-2163,-10,-8,NULL
1117012800,한강로3가,12,14,70,879,4,6,-3,-39,16,-1366,-7,-2,003
1117012900,이촌동,15,66,44,855,11,10,0,13,-10,-1390,0,2,002
1117013000,이태원동,26,27,136,1798,10,9,11,-26,82,-447,-1,1,003
1117013100,한남동,14,29,150,1396,33,12,-1,-24,96,-849,22,4,003
1117013200,동빙고동,3,9,11,115,2,6,-12,-44,-43,-2130,-9,-2,NULL
1117013300,서빙고동,2,6,6,96,2,4,-13,-47,-48,-2149,-9,-4,NULL
1117013400,주성동,0,0,1,15,0,0,-15,-53,-53,-2230,-11,-8,NULL
1117013500,용산동6가,2,0,6,44,0,2,-13,-53,-48,-2201,-11,-6,NULL
1117013600,보광동,10,22,22,485,4,7,-5,-31,-32,-1760,-7,-1,NULL
1120010100,상왕십리동,2,7,2,117,2,1,-13,-46,-52,-2128,-9,-7,NULL
1120010200,하왕십리동,11,69,42,640,9,15,-4,16,-12,-1605,-2,7,002
